uid,latitude,longitude,date,split
aiiw,38.7040833155314,-75.0756833314896,2019-07-24,train
aika,37.6003,-121.224,2019-08-13,test
aipy,38.3068,-121.693,2019-12-04,train
aivu,38.31806,-96.99139,2017-08-28,train
aiwq,41.890646,-78.925275,2017-06-15,test
aixa,37.7705,-121.292,2019-02-05,test
ajfd,35.8717601774244,-78.8518381619606,2019-01-15,train
ajlw,35.873250897271,-78.8637691312749,2019-10-17,train
ajsm,35.6738514796568,-79.2232874494833,2020-12-10,train
akgu,35.2,-79.1051898788843,2018-08-13,train
akjw,41.702596,-85.022696,2017-07-17,test
aksu,37.9495,-121.182,2019-05-21,train
akwt,39.7469388888889,-87.0759805555555,2019-08-19,train
akzy,37.6003,-121.224,2018-05-08,test
aldv,35.74,-79.02,2019-04-10,train
aliv,38.37080661,-98.79520846,2017-10-16,train
alpb,38.36472,-97.10194,2017-07-17,test
alqd,38.7078250249227,-75.0808666706085,2018-08-01,train
alqp,37.4419,-121.003,2018-06-12,test
altb,36.15,-79.1069694990356,2020-09-23,train
alwg,38.2104,-121.262,2017-05-16,train
amak,38.307,-121.794,2019-07-16,test
amap,35.6887024735058,-79.1957033371374,2020-06-10,train
anfv,35.74,-79.02,2017-11-15,train
anlm,35.6472101806552,-79.2727707764693,2018-03-22,train
anmy,42.383333,-87.0,2019-04-04,test
anrk,35.7222902051145,-79.1333177640541,2018-05-21,train
antr,36.03,-78.6940013804064,2021-04-20,train
anuc,37.5582,-121.164,2017-08-08,test
anuh,35.67294658039,-79.2249682018484,2021-08-05,train
anvp,37.2616,-120.906,2020-07-14,train
anwq,35.8698346642892,-78.8364273265963,2017-11-15,test
aohi,35.647023877865,-79.2731168137209,2018-04-11,train
aohj,40.38382,-76.0402,2019-08-05,test
aojs,35.7186173786787,-79.140139641301,2019-06-01,train
aoko,36.03,-78.6875387720278,2020-09-16,train
aolc,35.909059230253,-79.1503609566796,2021-07-12,test
aoth,35.6479021624475,-79.2714854952489,2017-10-18,train
aoxm,41.512172,-73.476168,2017-08-17,train
aozr,38.4831216812134,-75.1296916643778,2020-10-13,train
apcu,37.2639,-120.906,2020-08-17,train
apec,37.3294,-122.086,2019-06-03,train
apej,35.7211990030575,-79.135344553671,2018-06-25,train
apiz,35.7189633695748,-79.1394970006908,2018-07-16,train
apnm,35.7174197178844,-79.1423641664901,2019-06-01,train
apry,38.814,-86.0806397222222,2021-08-23,test
apsf,39.16522,-96.91105,2017-07-05,train
apsz,37.2639,-120.906,2021-05-20,train
apux,37.9718,-121.374,2020-02-12,train
apuy,35.51,-79.0959457408759,2017-09-28,train
apwq,41.697709,-73.28029,2017-08-31,test
apzy,35.6420203172133,-79.2824103856224,2020-10-22,train
aqae,35.6581488159097,-79.2524534464081,2021-12-02,train
aqdc,35.98,-78.8048599702854,2019-04-17,test
aqdr,40.11487,-75.85933,2021-08-16,train
aqee,42.83409996,-72.47257647,2017-08-17,test
aqef,35.6417275556858,-79.2829541584464,2021-03-17,test
aqky,40.0289,-75.84969,2018-08-23,test
aqmm,35.79,-79.030050361383,2019-09-04,train
aqpf,35.6809309856853,-79.2101380339206,2017-02-14,train
aqqb,37.4125,-120.759,2021-01-29,train
aqte,40.40194,-76.05892,2021-09-29,test
aqut,42.027378,-78.967089,2019-08-20,train
ardi,40.38382,-76.0402,2019-07-22,test
armb,35.6916300887807,-79.1902656088972,2018-07-11,train
arqn,36.17,-79.051850708237,2018-05-17,train
arwv,37.8717,-121.526,2018-07-17,train
arxu,39.79722,-76.04278,2019-08-07,test
aseg,36.04,-79.0880857518741,2018-05-03,train
aseq,37.5368,-121.049,2019-08-13,train
asgj,38.36472,-97.10194,2017-07-31,test
asgp,41.841242,-78.994719,2019-09-25,test
asgu,37.2639,-120.906,2020-05-21,train
asif,36.13,-79.1111219460554,2020-06-23,test
asoc,37.2486,-120.851,2020-07-14,train
aspl,36.03,-78.7061809115815,2021-12-14,train
assl,37.4419,-121.003,2019-06-11,test
ataj,41.55087787,-86.3616260258333,2020-07-07,test
atia,37.5368,-121.049,2019-02-06,train
atog,36.17,-79.0721680382982,2018-08-16,train
atqn,35.6472900247082,-79.27262247479,2018-03-22,train
atsh,37.9674,-121.464,2017-05-16,train
aufv,35.7045382106747,-79.1662901707471,2019-09-29,train
aumk,35.8752695803966,-78.8799256522214,2020-12-10,train
auvo,41.0491,-121.762,2019-02-19,train
avbb,37.9674,-121.464,2019-03-19,train
avem,45.01082,-94.95729,2017-08-22,test
avhu,35.8,-79.0393933671776,2017-08-16,train
avil,35.74,-79.02,2020-12-10,train
avrd,37.6106,-121.229,2019-05-14,test
avxe,35.6450011618569,-79.276873789596,2019-06-11,test
avxm,39.16522,-96.91105,2017-07-17,train
awcd,37.1145,-120.89,2020-04-14,train
awfl,37.9495,-121.182,2019-06-18,train
awoh,35.9065746971753,-79.1304760078224,2020-03-11,train
awqw,35.79,-79.0344994117614,2020-10-22,train
axbl,35.74,-79.0798302917276,2017-07-27,train
axeb,35.8841828428128,-78.9512629062467,2017-07-20,train
axgi,39.0803190688889,-86.4308666666667,2019-08-05,train
axkq,42.027378,-78.967089,2017-10-16,train
axni,37.2639,-120.906,2021-02-24,train
axtg,37.4583,-120.967,2021-04-13,train
axyv,41.702596,-85.022696,2021-07-19,test
axzm,35.6874781980272,-79.1979772962197,2021-05-24,test
ayfj,37.8717,-121.526,2018-08-21,train
ayrx,41.707665,-73.382964,2018-07-10,train
ayze,40.064685,-76.900309,2018-06-20,train
azcy,36.04,-79.0881846196603,2018-05-03,train
azkq,35.6398379130993,-79.286463964856,2017-09-20,test
aznr,37.5394,-121.122,2017-05-09,train
azoa,37.2583,-120.475,2017-05-09,train
azsd,37.4583,-120.967,2019-06-11,train
azwk,35.6455068408589,-79.2759345456272,2019-04-10,train
azxt,35.9009223844236,-79.0852377491722,2017-08-16,train
babh,35.6936261901046,-79.1865580669152,2017-02-14,train
bbbc,35.7174995619373,-79.1422158648109,2019-06-01,train
bbct,39.40763,-99.44667,2019-07-08,test
bbcy,37.9631,-101.75919,2017-06-08,test
bbms,38.31806,-96.99139,2019-06-03,train
bbue,43.516667,-79.08,2018-08-14,test
bbur,41.7098691666667,-85.0363,2019-07-16,train
bbvf,35.87002100427,-78.8379186977606,2018-01-10,train
bbvs,38.9353,-121.408,2019-04-16,train
bcds,35.89,-78.88,2017-06-02,train
bcng,35.75334,-97.86541,2017-09-11,train
bcsi,38.2560566666667,-86.7764030555555,2021-08-16,train
bdbx,38.3068,-121.693,2018-05-15,train
bdhx,35.6864136106547,-79.1999546519434,2021-11-08,test
bdix,35.98,-78.7834836502639,2017-12-14,test
bdjp,35.6457197583334,-79.2755390744825,2019-02-19,train
bdma,38.04772,-97.20234,2021-09-27,test
bdvi,39.80534,-76.88722,2017-08-02,test
bdzr,35.8,-79.0399371400016,2017-09-20,train
begh,35.8860772992845,-78.9664251797504,2018-06-13,train
begp,35.6491264379261,-79.2692115361666,2017-01-24,train
beiw,42.027378,-78.967089,2019-09-03,train
beko,35.6422598493722,-79.2819654805846,2020-09-24,train
berb,35.6654146247283,-79.2389579935937,2017-09-20,train
bexa,35.84,-79.0599578667042,2020-06-04,train
bezh,35.8767292435797,-78.8916080596751,2021-10-12,test
bfag,33.06712,-95.73801,2017-08-02,train
bfbd,35.8762633936277,-78.8878796317643,2021-08-05,train
bfbn,38.7819903391667,-85.6982861111111,2017-06-12,train
bfjb,35.81,-78.8809198996643,2017-07-06,train
bfwg,37.8817,-121.249,2017-09-19,train
bggp,40.39076,-76.07801,2020-07-30,test
bgil,35.51,-79.094957063014,2018-07-19,train
bgnf,39.7469388888889,-87.0759805555555,2021-07-26,train
bgth,42.024803,-78.964352,2017-09-12,test
bgwq,37.4125,-120.759,2020-10-13,train
bhdp,35.8723191973669,-78.8563122754535,2019-06-11,train
bhqp,38.79643622,-97.59567525,2021-06-07,test
bigg,37.7705,-121.292,2018-01-11,test
bijv,35.6449745471725,-79.2769232234891,2019-06-11,train
bios,37.9674,-121.464,2019-07-16,train
birw,37.2639,-120.906,2020-07-20,train
bitp,38.84759761,-97.58813777,2018-09-17,train
bivi,37.4125,-120.759,2017-03-14,train
bivj,35.9009534410871,-79.0854863110329,2017-08-16,train
bjfv,40.4189,-122.214,2018-01-24,train
bjgf,38.04772,-97.20234,2021-08-30,test
bjjc,39.93722,-77.44972,2021-08-05,test
bjjg,35.884462352784,-78.9534999629932,2017-08-16,train
bkdu,38.36472,-97.10194,2017-06-19,test
bkik,36.03,-78.6743649934099,2019-12-10,train
bkkp,38.7605000178019,-75.2028333346049,2020-08-03,train
bkvm,38.307,-121.794,2021-09-23,test
bleb,35.9052082039826,-79.1195392859509,2019-09-04,train
bles,37.8717,-121.526,2021-01-19,train
blfs,47.17212,-93.40033,2017-09-07,test
blfu,39.3992,-99.42481,2018-06-18,test
blkf,37.2639,-120.906,2018-01-17,train
blnj,35.48,-79.0588208871631,2021-07-07,test
blqs,35.8732819539345,-78.8640176931357,2019-10-17,test
blsa,35.96,-78.58,2020-06-24,test
bmab,43.516667,-79.08,2018-04-10,test
bmbi,35.28,-79.0451771326695,2021-09-08,train
bmcv,35.6793074899419,-79.2131535013992,2018-02-21,train
bmdy,35.2,-79.1043000688086,2018-05-15,train
bmgu,35.8689961343755,-78.829716156357,2017-05-17,train
bmkq,39.0223556408333,-86.4816555555556,2021-08-23,test
bmsm,38.7784833272298,-75.3098166783651,2018-10-10,train
bmup,35.888220209064,-78.9835759481397,2019-07-02,train
bmxo,35.9036864274725,-79.1073597547759,2019-01-15,train
bmzi,39.07868,-96.886523,2021-08-02,test
bndt,41.0491,-121.762,2021-03-24,train
bnfz,35.6610498165003,-79.247065152061,2020-03-11,train
bniw,35.6627797709809,-79.2438519490099,2019-06-11,train
bnof,35.67353,-87.03213,2017-07-19,train
boch,42.027378,-78.967089,2019-08-28,train
boje,40.7024915402778,-85.935575,2019-07-15,train
bolj,35.68,-79.1080570446837,2017-06-08,train
bopm,37.4583,-120.967,2019-11-12,train
bovq,40.22953,-77.28103,2021-08-30,train
bpbq,39.40763,-99.44667,2017-07-05,test
bpco,39.16522,-96.91105,2017-07-24,train
bpdo,38.720200030009,-75.0800833304723,2018-06-27,train
bphe,40.7024915402778,-85.935575,2020-08-17,train
bpke,39.80534,-76.88722,2019-08-07,test
bpnh,37.7705,-121.292,2018-03-14,test
bpnv,35.68,-79.1081559124698,2017-07-13,test
bpqq,35.67353,-87.03213,2017-06-02,train
bpul,37.7705,-121.292,2018-08-21,test
bpvi,35.79,-79.0319288493206,2020-03-11,train
bqbr,37.9674,-121.464,2019-12-02,train
bqgd,37.9718,-121.374,2021-09-14,train
bqif,37.4583,-120.967,2019-04-16,train
bqrl,37.8717,-121.526,2020-11-17,train
bqsw,38.7686666488647,-75.3178833325704,2020-10-14,train
bqtz,35.6465448135473,-79.2740066237966,2018-07-11,train
bqxd,36.06,-78.76,2018-08-16,train
brav,35.79,-79.0222892401674,2017-04-18,train
brek,40.4189,-122.214,2019-06-19,train
brfi,35.9019161976547,-79.0931917287151,2018-03-22,train
brwg,35.6886492441372,-79.1958022049236,2020-07-15,test
bscq,35.6643766520399,-79.2408859154244,2018-07-11,train
bsgf,41.0491,-121.762,2021-05-26,train
bsin,41.992305,-78.929219,2017-10-17,train
bsju,35.8729092739728,-78.8610349508071,2019-08-22,train
bsvr,45.45,-82.915,2017-08-08,test
btde,37.6003,-121.224,2019-04-09,test
btkb,35.87,-78.77,2020-05-07,train
btkd,36.03,-78.72,2018-03-28,train
btsb,38.814,-86.0806397222222,2018-06-11,test
btuh,35.8745552771368,-78.874208729425,2020-08-13,test
btuw,35.7042454491472,-79.1668339435711,2019-08-12,train
btwo,37.2583,-120.475,2020-03-10,train
buap,37.2639,-120.906,2017-07-26,train
bugj,36.03,-78.7041924166958,2021-10-27,train
buja,37.9792,-121.57,2020-12-15,train
bups,39.93317,-76.44069,2017-05-24,test
buvf,35.79,-79.034845449013,2020-12-10,train
buxf,37.8817,-121.249,2017-02-28,train
bvan,41.55087787,-86.3616260258333,2020-05-19,test
bvcr,36.06,-78.76,2018-05-23,train
bvho,35.8696483243084,-78.834935955432,2017-10-18,test
bvpu,35.7017702835057,-79.1714312956288,2020-05-18,train
bvtq,35.6887290881901,-79.1956539032443,2020-06-10,train
bvva,36.03,-78.72,2019-06-13,train
bvzi,36.03,-79.0912495210321,2018-09-11,train
bwan,35.7131347537093,-79.1503230232781,2021-05-18,train
bwet,41.3328,-75.8865,2019-09-03,train
bwnd,37.2486,-120.851,2021-04-13,train
bwnf,39.40763,-99.44667,2017-09-18,test
bwqa,38.7784833272298,-75.3098166783651,2017-09-13,train
bwqu,42.027378,-78.967089,2018-09-25,train
bwyb,39.0803190688889,-86.4308666666667,2021-08-23,train
bxcc,37.4125,-120.759,2018-09-11,train
bxeq,37.3906,-120.958,2019-09-10,train
bxex,35.6435107395351,-79.2796420876092,2020-01-09,train
bxfk,38.133,-121.522,2017-05-16,train
bxsl,38.307,-121.794,2018-12-18,test
bxzb,35.6668518176815,-79.2362885633667,2017-02-14,train
bydz,37.6003,-121.224,2021-10-26,test
byfj,35.871667007434,-78.8510924763785,2018-12-06,train
bygc,35.51,-79.0936223479005,2017-08-22,train
byoz,37.6003,-121.224,2018-04-10,test
byrf,35.74,-79.02,2018-03-22,train
bzat,37.2616,-120.906,2021-02-09,train
bzdl,36.03,-78.6977298083172,2021-05-26,test
bzjh,41.992305,-78.929219,2018-10-16,train
bznh,35.9064504705214,-79.1294817603795,2020-03-11,train
bzsr,37.2616,-120.906,2020-06-09,train
bzwb,37.2486,-120.851,2018-01-09,train
bzxn,38.307,-121.794,2018-11-23,test
bzyh,36.03,-78.6746135552706,2019-12-10,train
cabt,36.03,-78.72,2018-10-26,train
carq,38.307,-121.794,2019-09-25,test
cazk,36.03,-78.72,2017-10-25,train
cazn,37.6003,-121.224,2018-08-14,test
cbah,35.74,-79.02,2017-10-18,train
cbbk,40.4196,-76.1054,2020-07-30,test
cbjh,37.4106,-122.069,2017-07-13,test
cbky,35.98,-78.7824894028211,2017-11-29,train
cbme,37.1145,-120.89,2017-09-12,train
cbmx,41.697709,-73.28029,2017-07-20,test
cbnk,39.077955,-96.88081,2019-09-30,test
cbup,37.4419,-121.003,2018-05-08,test
cbzd,35.6582818893312,-79.2522062769426,2021-11-08,train
ccbs,35.98,-78.8235021098391,2020-06-24,train
cccl,35.74,-79.02,2020-08-13,train
ccfk,35.6737716356039,-79.2234357511625,2021-03-17,train
ccin,39.79722,-76.04278,2021-07-22,test
ccjz,35.6723344426508,-79.2261051813896,2021-12-02,train
cckp,35.660277990655,-79.2484987349607,2020-08-13,test
ccon,38.7819903391667,-85.6982861111111,2020-08-25,train
ccqj,39.0223556408333,-86.4816555555556,2017-07-10,test
ccra,37.6003,-121.224,2017-08-08,test
cdfp,38.7605000178019,-75.2028333346049,2020-08-12,train
cdgg,35.98,-78.7901948205032,2018-05-23,test
cdlh,36.15,-79.1065245939978,2020-07-15,train
cdnf,35.6482747680279,-79.2707934207456,2017-07-20,test
cdrl,35.8724123673573,-78.8570579610356,2019-06-11,train
cdst,36.17,-79.0720197366189,2018-08-16,test
cebd,32.98956,-95.64573,2017-08-03,test
ceco,37.8717,-121.526,2017-11-16,train
cedw,35.676300030614,-79.2187395313187,2019-09-14,train
cedy,39.07868,-96.886523,2019-09-04,test
ceyg,41.512172,-73.476168,2018-08-07,train
ceyq,40.3721,-76.03927,2020-08-27,test
cfdr,41.36732,-75.3191,2019-10-31,test
cfql,37.3978,-120.96,2020-04-21,train
cfyw,35.88,-79.1237770226872,2019-05-10,train
cgcf,35.98,-78.8192765582069,2020-02-26,train
cgfz,35.8684681710965,-78.8254906047248,2017-02-14,train
cgry,36.06,-78.76,2019-05-29,train
chch,37.8717,-121.526,2019-05-21,train
chdh,35.76,-79.0817087796651,2020-09-24,train
chep,39.4159,-99.43133,2018-09-10,train
chhy,39.81215,-76.0313,2019-08-07,test
chso,40.090275,-76.873132,2018-10-04,test
chtc,37.2616,-120.906,2020-10-13,train
chtr,36.03,-78.6808276017885,2020-03-18,train
chup,37.6003,-121.224,2020-06-09,test
chwm,39.0223556408333,-86.4816555555556,2018-07-23,test
cibj,36.17,-79.0522956132748,2018-06-28,train
cift,35.6918430062553,-79.1898701377525,2018-05-09,train
cigm,35.6800260864185,-79.2118187862857,2017-08-16,test
cigs,41.702596,-85.022696,2019-08-12,test
cilq,35.8701452309239,-78.8389129452034,2018-02-21,train
ciqn,35.6806648388421,-79.2106323728515,2017-04-18,train
cisn,35.74,-79.02,2018-05-09,train
cito,38.31806,-96.99139,2019-07-08,train
cjes,35.74,-79.02,2017-12-06,train
cjkn,38.31806,-96.99139,2017-08-14,train
cjpd,35.6806116094735,-79.2107312406377,2017-04-18,train
cjxe,35.689048464402,-79.1950606965272,2020-03-11,test
cjzt,36.03,-78.72,2018-05-23,train
ckja,35.72090624153,-79.135888326495,2018-08-07,train
ckjg,38.5596300125122,-75.5665550231934,2019-08-22,train
ckkn,35.87,-78.77,2020-09-08,train
ckpt,41.702596,-85.022696,2017-06-19,test
clhl,35.98,-78.8207679293712,2020-03-18,train
clmm,38.55845278,-75.567875,2019-08-22,train
clre,37.9674,-121.464,2018-05-15,train
clsf,35.6811439031598,-79.2097425627758,2017-01-24,train
clws,35.9000838545099,-79.0785265789329,2017-04-18,test
clyp,38.31806,-96.99139,2021-08-30,train
cmfn,35.79,-79.0311379070311,2020-01-09,train
cmha,37.6106,-121.229,2017-05-09,test
cmky,36.06,-78.76,2021-08-16,train
cmnc,35.6461189785982,-79.2747975660861,2018-11-07,test
cmqv,39.006878,-80.472104,2019-08-26,train
cmsu,38.7605000178019,-75.2028333346049,2020-07-29,train
cmvl,40.7201033333333,-85.1058325,2020-06-08,train
cmxn,37.1145,-120.89,2018-03-02,train
cmyk,35.74,-79.02,2019-07-02,train
cmyl,36.35088,-90.80319,2017-09-19,test
cnei,41.55087787,-86.3616260258333,2021-08-30,test
cngy,37.1145,-120.89,2019-02-14,train
cnlk,36.13,-79.068855967461,2021-08-10,train
cnss,39.1853,-121.704,2019-01-09,test
cnsz,39.077955,-96.88081,2019-10-07,test
cnuz,35.7188835255218,-79.13964530237,2018-08-28,train
cnvn,41.3305639294444,-85.3836083333333,2017-08-28,train
comt,35.6596126235471,-79.249734582288,2020-12-10,train
conk,37.3906,-120.958,2019-12-04,train
cooq,35.8926302552768,-79.0188717323613,2021-08-05,train
copu,41.91411,-72.70472,2019-09-09,test
coqt,37.2639,-120.906,2017-08-16,train
coqu,36.03,-78.72,2017-04-20,train
cosw,37.8717,-121.526,2020-03-17,train
cpmx,41.427688,-73.236089,2020-08-19,test
cpos,37.2486,-120.851,2021-07-14,train
cpsz,37.2486,-120.851,2017-05-09,train
cpxc,42.024803,-78.964352,2017-10-04,test
cpzk,35.98,-78.8090855219176,2019-07-01,train
cqap,35.6807979122637,-79.210385203386,2017-03-21,train
cqby,37.7705,-121.292,2017-03-21,test
cqkr,35.59,-78.9462916690324,2019-09-01,train
crcs,37.2639,-120.906,2018-06-14,train
crcz,41.3305639294444,-85.3836083333333,2021-08-30,train
crgq,44.1,-82.116667,2018-08-08,train
crja,37.3906,-120.958,2021-07-13,train
crli,38.7819903391667,-85.6982861111111,2021-05-18,train
croo,38.3068,-121.693,2021-05-24,train
crqd,39.7469388888889,-87.0759805555555,2017-06-13,train
crsc,35.65,-78.6853017152814,2021-06-15,train
csti,35.6653613953597,-79.2390568613799,2017-10-18,train
cstz,38.307,-121.794,2020-02-12,test
ctam,41.3305639294444,-85.3836083333333,2019-05-20,train
ctoz,42.027378,-78.967089,2019-10-01,train
ctzo,35.74,-79.02,2019-06-11,train
cubk,39.1853,-121.704,2018-12-19,test
cudh,40.38382,-76.0402,2019-07-30,test
cudx,38.720200030009,-75.0800833304723,2018-07-25,train
cuej,38.7891000111898,-75.1654833316803,2020-12-08,train
cuiv,37.5368,-121.049,2019-05-14,train
cuje,38.31806,-96.99139,2017-08-07,train
cuki,35.74,-79.02,2021-10-12,train
cums,35.6927479055221,-79.1881893853873,2017-09-20,train
cuqg,35.79,-79.0232284841362,2017-08-16,train
cuqo,35.98,-78.8391615070641,2021-08-16,train
cuxm,35.00558,-85.58884,2017-08-11,train
cuyx,39.077955,-96.88081,2019-09-16,test
cvbm,35.7194158192082,-79.1386566245082,2018-05-01,train
cvbp,35.8567908656314,-78.7320313450959,2019-05-02,train
cvdj,35.6907518041983,-79.1918969273693,2019-02-19,train
cvfc,37.2486,-120.851,2021-01-12,train
cvfp,37.9718,-121.374,2017-02-28,train
cvgh,39.40763,-99.44667,2017-10-30,test
cwcb,35.6640838905124,-79.2414296882484,2018-08-09,train
cwcy,35.9026305009145,-79.0989086515116,2018-07-11,test
cwjx,37.9674,-121.464,2019-02-05,train
cwqt,38.37611,-97.07583,2019-06-24,test
cwsa,37.2583,-120.475,2017-04-11,train
cxcs,37.7705,-121.292,2018-09-18,test
cxfl,39.0803190688889,-86.4308666666667,2021-08-09,train
cxga,37.9792,-121.57,2021-01-28,train
cxny,35.98,-78.7713041190889,2017-03-28,train
cxsd,39.40763,-99.44667,2018-06-25,test
cxxn,37.8717,-121.526,2020-02-18,train
cyan,35.79,-79.0248103687152,2018-01-10,train
cybb,37.4419,-121.003,2017-06-13,test
cycs,35.661449036765,-79.2463236436646,2020-01-09,test
cymk,35.79,-79.0326703577169,2020-05-18,train
czoi,39.3992,-99.42481,2018-07-30,test
czvo,35.6763266452984,-79.2186900974256,2019-09-14,train
dadr,37.6003,-121.224,2019-03-12,test
daej,38.38889,-97.09306,2017-07-17,train
dakr,37.9792,-121.57,2019-09-17,train
dalc,35.6636048261947,-79.242319498324,2018-12-06,train
dasz,35.6434841248508,-79.2796915215023,2020-01-09,test
davf,35.8840275594954,-78.9500200969431,2017-06-21,train
dazf,35.8721639140495,-78.8550694661499,2019-05-16,train
dbcb,35.6753685166629,-79.220469717577,2020-03-11,test
dbkn,40.7201033333333,-85.1058325,2018-06-19,train
dbly,38.32512,-87.05558,2017-08-08,test
dbmn,35.57,-78.938834813211,2018-05-01,test
dbob,35.6743039292902,-79.2224470733007,2020-09-24,train
dbsl,39.4159,-99.43133,2017-07-10,train
dbuw,37.4583,-120.967,2020-04-21,train
dcas,37.4125,-120.759,2020-04-21,train
dcdm,36.03,-78.6780934213207,2020-01-28,train
dcqj,37.7705,-121.292,2019-03-19,test
dcyz,35.6638975877222,-79.2417757255,2018-11-07,train
ddac,37.5394,-121.122,2017-06-13,train
ddbr,38.7819903391667,-85.6982861111111,2021-07-26,train
ddkm,41.424144,-73.206937,2018-09-11,train
ddqo,41.3328,-75.8865,2019-10-16,train
ddrc,37.9718,-121.374,2021-06-16,train
ddyo,35.9039348807803,-79.1093482496616,2019-03-19,test
deaj,35.79,-79.0244643314635,2017-11-15,train
decr,35.8996490612213,-79.0750467128829,2017-02-14,train
defi,35.6411952619995,-79.2839428363083,2021-06-17,test
degc,41.3305639294444,-85.3836083333333,2017-08-14,train
degz,37.2639,-120.906,2018-03-19,train
dehw,38.6431933085124,-75.6056109746297,2020-07-23,train
dekw,38.37611,-97.07583,2017-05-31,test
deni,39.94897,-77.44459,2020-10-07,train
desc,35.7180052409394,-79.1412766208421,2018-06-11,test
dety,37.2639,-120.906,2017-10-10,train
dewo,35.7086901014282,-79.1585784834246,2021-06-15,train
dfdh,36.06,-78.76,2018-10-25,train
dfhm,41.33076,-75.04066,2020-08-26,test
dfia,40.7201033333333,-85.1058325,2020-08-24,train
dfso,35.6740910118157,-79.2228425444454,2020-10-22,train
dfwq,38.7819903391667,-85.6982861111111,2018-08-07,train
dghm,38.7688166936239,-75.1965666611989,2017-09-13,train
dhol,41.992305,-78.929219,2019-09-18,train
dhpg,43.503333,-79.353333,2017-04-09,train
dhrw,35.6917897768866,-79.1899690055386,2018-06-13,train
dhth,37.9495,-121.182,2019-09-17,train
dhuk,37.9674,-121.464,2021-09-14,train
dhvy,43.503333,-79.353333,2019-04-24,train
dhyf,41.702596,-85.022696,2017-05-23,test
dicv,35.98,-78.8220107386748,2020-06-01,test
didr,35.51,-79.0415684584737,2021-08-30,train
difw,39.07868,-96.886523,2019-08-12,test
digl,38.37080661,-98.79520846,2017-09-11,train
dign,40.40586,-76.08,2019-07-02,test
diuw,36.01,-78.9589683239289,2018-06-12,train
djfw,35.8830648029278,-78.942314679261,2017-01-24,train
djga,35.84,-78.98,2017-08-21,train
djlr,37.2639,-120.906,2020-11-19,train
djnl,38.0475265,-99.82633869,2017-10-09,train
djno,37.3906,-120.958,2021-09-21,train
djzu,35.79,-79.0335601677926,2020-07-15,test
dkcc,37.6106,-121.229,2019-06-11,test
dkdo,40.064685,-76.900309,2018-10-04,train
dkdt,35.8716980640974,-78.8513410382392,2018-12-06,train
dkje,41.3305639294444,-85.3836083333333,2020-07-20,train
dknf,35.7251379763365,-79.1280283374932,2018-05-17,train
dknp,35.9008292144332,-79.0844920635901,2017-07-20,train
dkwz,41.7098691666667,-85.0363,2017-08-14,train
dkxl,36.03,-79.0904585787426,2018-06-14,train
dliu,35.2,-79.1043495027017,2018-06-26,test
dljn,35.7211723883732,-79.1353939875641,2018-06-25,train
dlkr,41.843527,-78.957332,2019-09-25,train
dlpv,40.91211,-75.17219,2017-05-02,test
